Country,CountryCode,CrudeMarriageRate,CrudeDivorceRate,DivorceMarraigeRatio
Albania,ALB,7.8,1.9,24
Algeria,DZA,10.1,1.6,16
Armenia,ARM,6,1,17
Australia,AUS,4.6,2,43
Austria,AUT,5.1,1.8,35
Azerbaijan,AZE,9.7,1.5,15
Bangladesh,BGD,2.9,1,34
Belarus,BLR,9.2,4.1,45
Belgium,BEL,3.9,2.1,54
Bosnia And Herzegovina,BIH,4.8,0.6,13
Brazil,BRA,6.6,1.4,17
Bulgaria,BGR,3.8,1.5,39
Canada,CAN,4.4,2.1,48
Chile,CHL,3.3,0.7,21
China,CHN,9.3,2.8,30
Colombia,COL,2.3,0.7,30
Costa Rica,CRI,5.3,2.5,47
Croatia,HRV,4.9,1.7,35
Cyprus,CYP,7.5,2.3,31
Czech Republic,CZE,4.8,2.4,50
Denmark,DNK,5.4,3,56
Dominican Republic,DOM,4.4,1.8,41
Ecuador,ECU,5.6,1.1,20
Egypt,EGY,11,1.9,17
El Salvador,SLV,3.5,0.8,23
Estonia,EST,5.2,2.6,52
Finland,FIN,4.5,2.5,56
France,FRA,3.5,1.9,54
Georgia,GEO,6.9,1.3,19
Germany,DEU,5,2,40
Greece,GRC,4.6,1,22
Guatemala,GTM,3.8,1.2,32
Hungary,HUN,5.3,2,38
Iceland,ISL,4.9,1.8,37
India,IND,7.8,1.4,18
Iran,IRN,11.2,1.6,29
Ireland,IRL,4.7,0.7,15
Israel,ISR,6.5,1.8,28
Italy,ITA,3.4,1.6,47
Jamaica,JAM,7.5,1.5,20
Japan,JPN,5,1.7,34
Jordan,JOR,10.2,2.6,25
Kazakhstan,KAZ,8.6,2.3,27
Kuwait,KWT,5.2,2.2,42
Kyrgyzstan,KGZ,9.7,1.6,16
Latvia,LVA,6.6,3.1,47
Lebanon,LBN,9.5,1.6,17
Libya,LBY,10.8,2.5,23
Lithuania,LTU,7.4,3.1,42
Luxembourg,LUX,3.2,2.1,66
Malta,MLT,6.7,0.8,12
Mauritius,MUS,8.2,1.4,17
Mexico,MEX,5.2,0.9,17
Moldova,MDA,7.3,3.1,42
Mongolia,MNG,3.4,1.1,32
Montenegro,MNE,5.1,1.1,22
Netherlands,NLD,3.8,2,53
New Zealand,NZL,4.8,2,42
Nicaragua,NIC,4.5,0.8,18
Norway,NOR,4.5,1.9,42
Panama,PAN,3.7,1,27
Poland,POL,5.1,1.7,33
Portugal,PRT,3.1,2.2,71
Qatar,QAT,3.3,1.1,33
Macedonia,MKD,6.4,1,16
Romania,ROU,6.8,1.5,22
Russia,RUS,9.2,4.8,52
Saudi Arabia,SAU,5.2,1.1,21
Serbia,SRB,5.1,1.3,25
Singapore,SGP,6.8,1.9,28
Slovakia,SVK,5.5,1.7,31
Slovenia,SVN,3.2,1.2,38
South Africa,ZAF,3.5,0.6,17
South Korea,KOR,6.4,2.3,36
Spain,ESP,3.7,2.1,57
Sri Lanka,LKA,0,0.15,0
Sweden,SWE,5.4,2.4,44
Switzerland,CHE,5,2,40
Syria,SYR,10.6,1.3,12
Tajikistan,TJK,13.5,1.4,10
Thailand,THA,5.5,1.4,25
Trinidad And Tobago,TTO,6.3,2.2,35
Turkey,TUR,7.5,1.6,21
Ukraine,UKR,6.7,2.8,42
United Arab Emirates,ARE,2.8,0.7,25
United Kingdom,GBR,4.4,1.8,39
United States of America,USA,6.9,3.2,46
Uruguay,URY,3.2,0,0
Uzbekistan,UZB,7.8,1.1,14
Venezuela,VEN,3.3,1.2,36
Vietnam,VNM,5.7,0.4,7